Date;Price
10/10/2023;57364
09/10/2023;57268
06/10/2023;56582
05/10/2023;56112
04/10/2023;56229
03/10/2023;56385
29/09/2023;57061
28/09/2023;57146
27/09/2023;57759
26/09/2023;58478
25/09/2023;58707
22/09/2023;58896
21/09/2023;58853
20/09/2023;59363
19/09/2023;59265
18/09/2023;59212
15/09/2023;58992
14/09/2023;58608
13/09/2023;58610
12/09/2023;58642
11/09/2023;58941
08/09/2023;58905
07/09/2023;59016
06/09/2023;59111
05/09/2023;59301
04/09/2023;59385
01/09/2023;59106
31/08/2023;59113
30/08/2023;59117
29/08/2023;58843
28/08/2023;58497
25/08/2023;58273
24/08/2023;58436
23/08/2023;58430
22/08/2023;58221
21/08/2023;58164
18/08/2023;58098
17/08/2023;58027
16/08/2023;58413
14/08/2023;58663
11/08/2023;58629
10/08/2023;58605
09/08/2023;58719
08/08/2023;58997
07/08/2023;59201
04/08/2023;59124
03/08/2023;59078
02/08/2023;59117
01/08/2023;59048
31/07/2023;59628
28/07/2023;59288
27/07/2023;58878
26/07/2023;59347
25/07/2023;59120
24/07/2023;59013
21/07/2023;59221
20/07/2023;59459
19/07/2023;59683
18/07/2023;59633
17/07/2023;59061
14/07/2023;59229
13/07/2023;59185
12/07/2023;59113
11/07/2023;58737
10/07/2023;58635
07/07/2023;58747
06/07/2023;58385
05/07/2023;58308
04/07/2023;58194
03/07/2023;58119
30/06/2023;58020
29/06/2023;57578
28/06/2023;57796
27/06/2023;58015
26/06/2023;58256
23/06/2023;58188
22/06/2023;58144
21/06/2023;58630
20/06/2023;58721
19/06/2023;59043
16/06/2023;59249
15/06/2023;59249
14/06/2023;59249
13/06/2023;59222
12/06/2023;59595
09/06/2023;59777
08/06/2023;59809
07/06/2023;59511
06/06/2023;59902
05/06/2023;59805
02/06/2023;59656
01/06/2023;60033
31/05/2023;60252
30/05/2023;59845
29/05/2023;59358
26/05/2023;59430
25/05/2023;59493
24/05/2023;59918
23/05/2023;60220
22/05/2023;60271
19/05/2023;60389
18/05/2023;59758
17/05/2023;60189
16/05/2023;60280
15/05/2023;60987
12/05/2023;60843
11/05/2023;60886
10/05/2023;61207
09/05/2023;61359
08/05/2023;60916
05/05/2023;60799
04/05/2023;61683
03/05/2023;61073
02/05/2023;60787
01/05/2023;59979
28/04/2023;60057
27/04/2023;59913
26/04/2023;59849
25/04/2023;60123
24/04/2023;59928
21/04/2023;59810
20/04/2023;60389
19/04/2023;60172
18/04/2023;60331
17/04/2023;60051
14/04/2023;60145
13/04/2023;60987
12/04/2023;60404
11/04/2023;60281
10/04/2023;59867
06/04/2023;60276
05/04/2023;60366
04/04/2023;60435
03/04/2023;59600
31/03/2023;59314
30/03/2023;59389
29/03/2023;58997
28/03/2023;58986
27/03/2023;58496
24/03/2023;59226
23/03/2023;59436
22/03/2023;58684
21/03/2023;58520
20/03/2023;59424
17/03/2023;59231
16/03/2023;57942
15/03/2023;58263
14/03/2023;57417
13/03/2023;57539
10/03/2023;56101
09/03/2023;55272
08/03/2023;54955
07/03/2023;55077
06/03/2023;55752
03/03/2023;55879
02/03/2023;55915
01/03/2023;56047
28/02/2023;55714
27/02/2023;55447
24/02/2023;55535
23/02/2023;55630
22/02/2023;56060
21/02/2023;56157
20/02/2023;56202
17/02/2023;56232
16/02/2023;56229
15/02/2023;56151
14/02/2023;56679
13/02/2023;56486
10/02/2023;56711
09/02/2023;56797
08/02/2023;57128
07/02/2023;57175
06/02/2023;56926
03/02/2023;57424
02/02/2023;57710
01/02/2023;57599
31/01/2023;56864
30/01/2023;56754
27/01/2023;56789
25/01/2023;56865
24/01/2023;56881
23/01/2023;56705
20/01/2023;56569
19/01/2023;56443
18/01/2023;56220
17/01/2023;56306
16/01/2023;56414
13/01/2023;56224
12/01/2023;55801
11/01/2023;55641
10/01/2023;55642
09/01/2023;55792
06/01/2023;55628
05/01/2023;55071
04/01/2023;55688
03/01/2023;55380
02/01/2023;55016
30/12/2022;54779
29/12/2022;54642
28/12/2022;54324
27/12/2022;54546
26/12/2022;54230
23/12/2022;54104
22/12/2022;54066
21/12/2022;54684
20/12/2022;54541
19/12/2022;53945
16/12/2022;53957
15/12/2022;53795
14/12/2022;54340
13/12/2022;54376
12/12/2022;53791
09/12/2022;53950
08/12/2022;53741
07/12/2022;53665
06/12/2022;53446
05/12/2022;53300
02/12/2022;53346
01/12/2022;53339
30/11/2022;52434
29/11/2022;52357
28/11/2022;52148
25/11/2022;52386
24/11/2022;52494
23/11/2022;52259
22/11/2022;52161
21/11/2022;52201
18/11/2022;52501
17/11/2022;52698
16/11/2022;52883
15/11/2022;52545
14/11/2022;52601
11/11/2022;52275
10/11/2022;52033
09/11/2022;51474
08/11/2022;51581
07/11/2022;50901
04/11/2022;50615
03/11/2022;49876
02/11/2022;50414
01/11/2022;50250
31/10/2022;50070
28/10/2022;49956
27/10/2022;50450
26/10/2022;50411
25/10/2022;50353
24/10/2022;50319
21/10/2022;50361
20/10/2022;49938
19/10/2022;49981
18/10/2022;50192
17/10/2022;50231
14/10/2022;50067
13/10/2022;50615
12/10/2022;50713
11/10/2022;50874
10/10/2022;50871
07/10/2022;51716
06/10/2022;51711
05/10/2022;51361
04/10/2022;51127
03/10/2022;50245
30/09/2022;50029
29/09/2022;49902
28/09/2022;49726
27/09/2022;49160
26/09/2022;49110
23/09/2022;49382
22/09/2022;49955
21/09/2022;49428
20/09/2022;49218
19/09/2022;49361
16/09/2022;49451
15/09/2022;49394
14/09/2022;50101
13/09/2022;50233
12/09/2022;50696
09/09/2022;50592
08/09/2022;50429
07/09/2022;50570
06/09/2022;50354
05/09/2022;50604
02/09/2022;50313
01/09/2022;50169
31/08/2022;50520
30/08/2022;50701
29/08/2022;51181
26/08/2022;51242
25/08/2022;51628
24/08/2022;51480
23/08/2022;51458
22/08/2022;51217
19/08/2022;51517
18/08/2022;51642
17/08/2022;51563
16/08/2022;51821
12/08/2022;52456
11/08/2022;52246
10/08/2022;52184
09/08/2022;52383
08/08/2022;52183
05/08/2022;51641
04/08/2022;51802
03/08/2022;51216
02/08/2022;51274
01/08/2022;51260
29/07/2022;51365
28/07/2022;51274
27/07/2022;50722
26/07/2022;50612
25/07/2022;50567
22/07/2022;50720
21/07/2022;50427
20/07/2022;50309
19/07/2022;50395
18/07/2022;50457
15/07/2022;50212
14/07/2022;50323
13/07/2022;50849
12/07/2022;50532
11/07/2022;50709
08/07/2022;50832
07/07/2022;50691
06/07/2022;50581
05/07/2022;52238
04/07/2022;51808
